confidence_threshold,detections,filename,image_path
0.25,0,TCGA_CS_4941_19960909_1.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif
0.25,1,TCGA_CS_4941_19960909_10.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif
0.25,1,TCGA_CS_4941_19960909_11.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif
0.25,0,TCGA_CS_4941_19960909_12.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif
0.25,1,TCGA_CS_4941_19960909_13.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif
0.25,0,TCGA_CS_4941_19960909_14.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif
0.25,1,TCGA_CS_4941_19960909_15.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif
0.25,1,TCGA_CS_4941_19960909_16.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif
0.25,1,TCGA_CS_4941_19960909_17.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif
0.25,1,TCGA_CS_4941_19960909_18.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif
0.25,0,TCGA_CS_4941_19960909_19.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif
0.25,0,TCGA_CS_4941_19960909_2.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif
0.25,1,TCGA_CS_4941_19960909_20.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif
0.25,1,TCGA_CS_4941_19960909_21.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif
0.25,0,TCGA_CS_4941_19960909_22.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif
0.25,1,TCGA_CS_4941_19960909_23.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif
0.25,1,TCGA_CS_4941_19960909_3.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif
0.25,0,TCGA_CS_4941_19960909_4.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif
0.25,0,TCGA_CS_4941_19960909_5.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif
0.25,0,TCGA_CS_4941_19960909_6.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif
0.25,0,TCGA_CS_4941_19960909_7.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif
0.25,0,TCGA_CS_4941_19960909_8.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif
0.25,0,TCGA_CS_4941_19960909_9.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif
0.25,1,TCGA_CS_4942_19970222_1.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_1.tif
0.25,1,TCGA_CS_4942_19970222_10.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_10.tif
0.25,1,TCGA_CS_4942_19970222_11.tif,C:\Users\renan\.cache\kagglehub\datasets\mateuszbuda\lgg-mri-segmentation\versions\2\kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_11.tif
