CNN Evaluation on Distorted and Restored Images

The tumor_probability column is the CNN output probability for the tumor class.
Probability >= 0.5 is predicted as tumor; otherwise it is predicted as no_tumor.

clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.203065
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.133013
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.462309
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.351289
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.118261
clean        | original                     | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.876518
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.432744
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.492828
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.403254
clean        | original                     | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.768871
clean        | original                     | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.763322
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.132207
clean        | original                     | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.667558
clean        | original                     | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.802426
clean        | original                     | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.477169
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.795122
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.612975
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.975384
clean        | original                     | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.440014
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.999135
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.675747
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.744671
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.724459
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.810258
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.714545
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.688254
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.945327
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.967744
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.756454
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.948792
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.919216
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.723770
clean        | original                     | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.754761
